DefaultOrder,Id,Name,PathName,DevName,StarGrade,FamilyName,FamilyNameRuby,PersonalName,PersonalNameRuby,CharacterVoice,School,SchoolYear,CharacterAge,Birthday,BirthDay,CharHeightMetric,Costume
0,10000,アル,aru,Aru,3,陸八魔,りくはちま,アル,,近藤玲奈,Gehenna,2年生,16歳,3月12日,3/12,160cm,
1,10001,エイミ,eimi,Eimi,3,和泉元,いずみもと,エイミ,,松永あかね,Millennium,1年生,15歳,5月1日,5/1,167cm,
2,10002,ハルナ,haruna,Haruna,3,黒舘,くろだて,ハルナ,,田所あずさ,Gehenna,3年生,17歳,3月1日,3/1,163cm,
3,10003,ヒフミ,hifumi,Hihumi,3,阿慈谷,あじたに,ヒフミ,,本渡楓,Trinity,2年生,16歳,11月27日,11/27,158cm,
4,10004,ヒナ,hina,Hina,3,空崎,そらさき,ヒナ,,広橋涼,Gehenna,3年生,17歳,2月19日,2/19,142cm,
5,10005,ホシノ,hoshino,Hoshino,3,小鳥遊,たかなし,ホシノ,,花守ゆみり,Abydos,3年生,17歳,1月2日,1/2,145cm,
6,10006,イオリ,iori,Iori,3,銀鏡,しろみ,イオリ,,佐倉綾音,Gehenna,2年生,16歳,11月8日,11/8,157cm,
7,10007,マキ,maki,Maki,3,小塗,こぬり,マキ,,三上枝織,Millennium,1年生,15歳,8月1日,8/1,149cm,
8,10008,ネル,neru,Neru,3,美甘,みかも,ネル,,小清水亜美,Millennium,3年生,17歳,8月17日,8/17,146cm,
9,10009,イズミ,izumi,Izumi,3,獅子堂,ししどう,イズミ,,久保ユリカ,Gehenna,2年生,16歳,5月11日,5/11,161cm,
10,10010,シロコ,shiroko,Shiroko,3,砂狼,すなおおかみ,シロコ,,小倉唯,Abydos,2年生,16歳,5月16日,5/16,156cm,
11,10011,シュン,shun,Shun,3,春原,すのはら,シュン,,伊藤静,Shanhaijing,3年生,極秘,2月5日,2/5,174cm,
12,10012,スミレ,sumire,Sumire,3,乙花,おとはな,スミレ,,今井麻美,Millennium,2年生,16歳,8月20日,8/20,167cm,
13,10013,ツルギ,tsurugi,Tsurugi,3,剣先,けんざき,ツルギ,,小林ゆう,Trinity,3年生,17歳,6月24日,6/24,162cm,
14,13000,アカネ,akane,Akane,2,室笠,むろかさ,アカネ,,原由実,Millennium,2年生,16歳,4月1日,4/1,164cm,
15,13001,チセ,chise,Chise,2,和楽,わらく,チセ,,嶋村侑,Hyakkiyako,2年生,16歳,7月13日,7/13,159cm,
16,13002,アカリ,akari,Akari,2,鰐渕,わにぶち,アカリ,,森嶋優花,Gehenna,3年生,17歳,12月9日,12/9,167cm,
17,13003,ハスミ,hasumi,Hasumi,2,羽川,はねかわ,ハスミ,,瀬戸麻沙美,Trinity,3年生,17歳,12月12日,12/12,179cm,
18,13004,ノノミ,nonomi,Nonomi,2,十六夜,いざよい,ノノミ,,三浦千幸,Abydos,2年生,16歳,9月1日,9/1,160cm,
19,13005,カヨコ,kayoko,Kayoko,2,鬼方,おにかた,カヨコ,,藤井ゆきよ,Gehenna,3年生,18歳,3月17日,3/17,157cm,
20,13006,ムツキ,mutsuki,Mutsuki,2,浅黄,あさぎ,ムツキ,,大久保瑠美,Gehenna,2年生,16歳,7月29日,7/29,144cm,
21,13007,ジュンコ,junko,Zunko,2,赤司,あかし,ジュンコ,,金元 寿子,Gehenna,1年生,15歳,12月27日,12/27,149cm,
22,13008,セリカ,serika,Serika,2,黒見,くろみ,セリカ,,大橋彩香,Abydos,1年生,15歳,6月25日,6/25,153cm,
23,13009,ツバキ,tsubaki,Tsubaki,2,春日,かすが,ツバキ,,白砂沙帆,Hyakkiyako,2年生,16歳,2月3日,2/3,162cm,
24,13010,ユウカ,yuuka,Yuuka,2,早瀬,はやせ,ユウカ,,春花らん,Millennium,2年生,16歳,3月14日,3/14,156cm,
25,16000,ハルカ,haruka,Haruka,1,伊草,いぐさ,ハルカ,,石飛恵里花,Gehenna,1年生,15歳,5月13日,5/13,157cm,
26,16001,アスナ,asuna,Asuna,1,一之瀬,いちのせ,アスナ,,長谷川育美,Millennium,3年生,17歳,3月24日,3/24,167cm,
27,16002,コトリ,kotori,Kotori,1,豊見,とよみ,コトリ,,篠原なるみ,Millennium,1年生,15歳,12月31日,12/31,151cm,
